КП 	АРМ Социолог	Delphi 7.0	1200  
ВКР 	АИС "Магазин компьютерной техники". АРМ Руководителя, АРМ Менеджера, АРМ Кассира (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС "Магазин одежды" (ADO+Access)	Delphi 7.0	2400+
КП 	АИС "Магазин по продаже компакт-дисков"	Delphi 7.0	1600+
КП 	АИС "Магазин по продаже мобильных телефонов"	Delphi 7.0	1600+
КП 	АИС "Магазин по продаже электроники и бытовой техники"	Delphi 7.0	1600+
ВКР 	АИС "Магазин программного обеспечения" (авторизация, управление доступом) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Магазин спортивного питания" (ADO + MS SQL Server)	Delphi 7.0	2400+
ВКР 	АИС "Магазин фототехники"	Delphi 7.0	2400  
КП 	АИС "Магазин фототоваров"	Delphi 7.0	1600+
ВКР 	АИС "Магазин часов" (авторизация, управление доступом) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Мебельный магазин" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Мебельный цех" (ADO + Access)	Delphi 7.0	2400  
ВКР 	АИС "Мотосалон" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Обмен квартир" (Delphi + ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Обслуживание больных медицинской клиники"	Delphi 7.0	1900+
КП 	АИС "Обслуживание компьютерной техники" (ADO + Access)	Delphi 7.0	2400+
